algo,startNode/endNode,budget,userID,totalPOI,totalCost,totalProfit,totalInterest,reachEndNode,totalPopInt,maxInterest,minInterest,tour,iter,groupID
ranClusterOnce,7,200,59525924@N05,7,594.4665269777165,3.8003380009657173,5.608815426997246,True,4.704576713981481,1.0,0.0,7-28-6-22-7-23-16-7-11-27-7,1,3.0
ranClusterOnce,7,200,39038071@N00,7,594.4665269777165,3.8003380009657173,1.0,True,2.4001690004828586,1.0,0.0,7-28-6-22-7-23-16-7-11-27-7,1,3.0
ranClusterOnce,7,200,40451262@N00,7,594.4665269777165,3.8003380009657173,5.007911392405063,True,4.40412469668539,1.0,0.0,7-28-6-22-7-23-16-7-11-27-7,1,3.0
ranClusterOnce,7,200,92354342@N00,7,594.4665269777165,3.8003380009657173,1.0,True,2.4001690004828586,1.0,0.0,7-28-6-22-7-23-16-7-11-27-7,1,3.0
ranClusterOnce,7,200,8684258@N02,7,594.4665269777165,3.8003380009657173,5.0,True,4.400169000482858,1.0,0.0,7-28-6-22-7-23-16-7-11-27-7,1,3.0
ranClusterOnce,7,200,17373191@N00,7,594.4665269777165,3.8003380009657173,0.35379500332478386,True,2.0770665021452506,0.35379500332478386,0.0,7-28-6-22-7-23-16-7-11-27-7,1,3.0
ranClusterOnce,7,200,51149594@N07,7,594.4665269777165,3.8003380009657173,5.029573558828878,True,4.414955779897298,1.0,0.0,7-28-6-22-7-23-16-7-11-27-7,1,3.0
ranClusterOnce,7,200,25653648@N08,7,594.4665269777165,3.8003380009657173,1.0,True,2.4001690004828586,1.0,0.0,7-28-6-22-7-23-16-7-11-27-7,1,3.0
ranClusterOnce,7,200,24585780@N00,7,594.4665269777165,3.8003380009657173,5.0,True,4.400169000482858,1.0,0.0,7-28-6-22-7-23-16-7-11-27-7,1,3.0
ranClusterOnce,7,200,32132568@N06,7,594.4665269777165,3.8003380009657173,1.0,True,2.4001690004828586,1.0,0.0,7-28-6-22-7-23-16-7-11-27-7,1,3.0
ranClusterOnce,7,200,66691654@N00,7,594.4665269777165,3.8003380009657173,1.0,True,2.4001690004828586,1.0,0.0,7-28-6-22-7-23-16-7-11-27-7,1,3.0
ranClusterOnce,7,200,41969093@N00,7,594.4665269777165,3.8003380009657173,2.245316681534344,True,3.0228273412500304,1.0,0.0,7-28-6-22-7-23-16-7-11-27-7,1,3.0
ranClusterOnce,7,200,12369809@N07,7,594.4665269777165,3.8003380009657173,5.524851190476191,True,4.662594595720954,1.0,0.0,7-28-6-22-7-23-16-7-11-27-7,1,3.0
ranClusterOnce,7,200,27124254@N00,7,594.4665269777165,3.8003380009657173,5.018229034064871,True,4.409283517515294,1.0,0.0,7-28-6-22-7-23-16-7-11-27-7,1,3.0
ranClusterOnce,7,200,49503207397@N01,7,594.4665269777165,3.8003380009657173,5.6303604894719435,True,4.71534924521883,1.0,0.0,7-28-6-22-7-23-16-7-11-27-7,1,3.0
ranClusterOnce,7,200,33455071@N00,7,594.4665269777165,3.8003380009657173,1.0,True,2.4001690004828586,1.0,0.0,7-28-6-22-7-23-16-7-11-27-7,1,3.0
ranClusterOnce,7,200,16073996@N00,7,594.4665269777165,3.8003380009657173,5.0,True,4.400169000482858,1.0,0.0,7-28-6-22-7-23-16-7-11-27-7,1,3.0
ranClusterOnce,7,200,32188688@N00,7,594.4665269777165,3.8003380009657173,2.425003776244903,True,3.11267088860531,1.0,0.0,7-28-6-22-7-23-16-7-11-27-7,1,3.0
ranClusterOnce,7,200,55289779@N00,7,594.4665269777165,3.8003380009657173,5.725425134798839,True,4.762881567882278,1.0,0.010991289921194533,7-28-6-22-7-23-16-7-11-27-7,1,3.0
