algo,startNode/endNode,budget,userID,totalPOI,totalCost,totalProfit,totalInterest,reachEndNode,totalPopInt,maxInterest,minInterest,tour,iter,groupID
ranClusterOnce,7,163.51700954486938,7262621@N06,5,458.2475006628387,3.4319169483341376,0.0,True,1.7159584741670688,0.0,0.0,7-21-22-7-11-7-6-23-7,1,1.0
ranClusterOnce,7,163.51700954486938,70319561@N00,5,458.2475006628387,3.4319169483341376,0.0,True,1.7159584741670688,0.0,0.0,7-21-22-7-11-7-6-23-7,1,1.0
ranClusterOnce,7,163.51700954486938,90678392@N00,5,458.2475006628387,3.4319169483341376,0.0,True,1.7159584741670688,0.0,0.0,7-21-22-7-11-7-6-23-7,1,1.0
ranClusterOnce,7,163.51700954486938,54484406@N08,5,458.2475006628387,3.4319169483341376,0.0,True,1.7159584741670688,0.0,0.0,7-21-22-7-11-7-6-23-7,1,1.0
ranClusterOnce,7,163.51700954486938,31499593@N03,5,458.2475006628387,3.4319169483341376,5.001782638545945,True,4.2168497934400415,1.0,0.00012044855040169621,7-21-22-7-11-7-6-23-7,1,1.0
ranClusterOnce,7,163.51700954486938,55372451@N00,5,458.2475006628387,3.4319169483341376,5.0,True,4.215958474167069,1.0,0.0,7-21-22-7-11-7-6-23-7,1,1.0
ranClusterOnce,7,163.51700954486938,17373191@N00,5,458.2475006628387,3.4319169483341376,0.7075900066495677,True,2.0697534774918527,0.35379500332478386,0.0,7-21-22-7-11-7-6-23-7,1,1.0
ranClusterOnce,7,163.51700954486938,43139087@N00,5,458.2475006628387,3.4319169483341376,5.921212870522055,True,4.676564909428096,1.0,0.19784873118412524,7-21-22-7-11-7-6-23-7,1,1.0
ranClusterOnce,7,163.51700954486938,95674706@N00,5,458.2475006628387,3.4319169483341376,0.0,True,1.7159584741670688,0.0,0.0,7-21-22-7-11-7-6-23-7,1,1.0
ranClusterOnce,7,163.51700954486938,61825972@N08,5,458.2475006628387,3.4319169483341376,0.0,True,1.7159584741670688,0.0,0.0,7-21-22-7-11-7-6-23-7,1,1.0
ranClusterOnce,7,163.51700954486938,97478728@N00,5,458.2475006628387,3.4319169483341376,1.0,True,2.215958474167069,1.0,0.0,7-21-22-7-11-7-6-23-7,1,1.0
ranClusterOnce,7,163.51700954486938,66907518@N00,5,458.2475006628387,3.4319169483341376,0.0,True,1.7159584741670688,0.0,0.0,7-21-22-7-11-7-6-23-7,1,1.0
ranClusterOnce,7,163.51700954486938,16073996@N00,5,458.2475006628387,3.4319169483341376,5.0,True,4.215958474167069,1.0,0.0,7-21-22-7-11-7-6-23-7,1,1.0
ranClusterOnce,7,163.51700954486938,51050970@N07,5,458.2475006628387,3.4319169483341376,5.0,True,4.215958474167069,1.0,0.0,7-21-22-7-11-7-6-23-7,1,1.0
